MouseName;ResponsibleExperimenter;PyratID;Genotype;Gender;DateOfBirth;LicenceAutorisation;DegreeOfSeverity;DateOfStart;AgesInWeeks;DateOfSacrifice;ProjType
AMYG01;Georgios Foustoukos;25249;C57BL/6J;f;19.08.2023;2401.4;2;30.11.2023;10;06.02.2024;Amy
AMYG02;Georgios Foustoukos;25533;C57BL/6J;m;25.10.2023;2401.4;2;24.01.2024;12;11.03.2024;Amy
MHIP03;Georgios Foustoukos;24813;C57BL/6J;m;02.06.2023;2401.4;2;23.03.2022;11;01.05.2022;dCA1
MHIP05;Georgios Foustoukos;25516;C57BL/6J;m;14.10.2023;2401.4;2;21.08.2023;10;11.03.2024;dCA1
MHIP06;Georgios Foustoukos;25963;C57BL/6J;m;14.01.2024;2401.4;2;17.04.2024;12;Ongoing;dCA1
MPC05;Georgios Foustoukos;24344;C57BL/6J;m;25.03.2023;2401.4;2;23.03.2022;11;06.02.2024;mPFC
MPC06;Georgios Foustoukos;25185;C57BL/6J;m;05.08.2023;2401.4;2;30.11.2023;10;06.02.2024;mPFC
THAL01;Georgios Foustoukos;24755;C57BL/6J;m;20.05.2023;2401.4;2;28.03.2022;12;02.06.2024;Thal
THAL02;Georgios Foustoukos;25248;C57BL/6J;f;19.08.2023;2401.4;2;30.11.2023;16;17.01.2024;Thal
THAL04;Georgios Foustoukos;25537;C57BL/6J;f;25.10.2023;2401.4;2;24.02.2024;13;11.03.2024;Thal
THAL06;Georgios Foustoukos;25964;C57BL/6J;m;14.01.2024;3947a;2;15.04.2024;12;Ongoing;Thal
MPC09;Georgios Foustoukos;26200;C57BL/6J;m;02.03.2024;3947a;2;29.05.2024;12;Ongoing;mPFC
MPC10;Georgios Foustoukos;26201;C57BL/6J;m;02.03.2024;3947a;2;29.05.2024;12;Ongoing;mPFC
